trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
3605,False,"{'a': 0.9, 'e': 0.02713845094747263}",20,14,13.849038934246128,"{0: 6, 1: 0, 2: 0, 3: 0, 4: 0}",1
3606,False,"{'a': 0.9, 'e': 0.02711131249652516}",25,10,28.257965381547244,"{0: 15, 1: 0, 2: 0, 3: 0, 4: 0}",1
3607,False,"{'a': 0.9, 'e': 0.027084201184028635}",25,11,13.83287171763082,"{0: 13, 1: 0, 2: 1, 3: 0, 4: 0}",1
3608,False,"{'a': 0.9, 'e': 0.027057116982844603}",25,3,39.05521101176498,"{0: 22, 1: 0, 2: 0, 3: 0, 4: 0}",1
3609,False,"{'a': 0.9, 'e': 0.02703005986586176}",20,13,15.224905957933252,"{0: 7, 1: 0, 2: 0, 3: 0, 4: 0}",1
3610,False,"{'a': 0.9, 'e': 0.027003029805995896}",20,14,11.27038712670304,"{0: 6, 1: 0, 2: 0, 3: 0, 4: 0}",1
3611,False,"{'a': 0.9, 'e': 0.0269760267761899}",30,21,16.27698626094061,"{0: 9, 1: 0, 2: 0, 3: 0, 4: 0}",1
3612,False,"{'a': 0.9, 'e': 0.026949050749413714}",25,11,25.433409530269277,"{0: 14, 1: 0, 2: 0, 3: 0, 4: 0}",1
3613,False,"{'a': 0.9, 'e': 0.026922101698664297}",30,13,17.021003034748652,"{0: 16, 1: 0, 2: 1, 3: 0, 4: 0}",1
3614,False,"{'a': 0.9, 'e': 0.026895179596965635}",25,17,12.7961628403412,"{0: 8, 1: 0, 2: 0, 3: 0, 4: 0}",1
3615,False,"{'a': 0.9, 'e': 0.02686828441736867}",20,-1,36.427065228623356,"{0: 21, 1: 0, 2: 0, 3: 0, 4: 0}",1
3616,False,"{'a': 0.9, 'e': 0.0268414161329513}",20,16,7.352901697126372,"{0: 4, 1: 0, 2: 0, 3: 0, 4: 0}",1
3617,False,"{'a': 0.9, 'e': 0.02681457471681835}",25,12,24.21341924697698,"{0: 13, 1: 0, 2: 0, 3: 0, 4: 0}",1
